Matching Half Café, 0.477181196213, 1799 McAllister St, NoPa, San Francisco, CA 94117
Monterey Deli, 0.476845622063, 499 Monterey Blvd, Outer Mission, San Francisco, CA 94127
Snowbird Coffee, 0.476235508919, 1352 A 9th Ave, Inner Sunset, San Francisco, CA 94122
DeLise, 0.475960969925, 327 Bay St, North Beach/Telegraph Hill, San Francisco, CA 94133
Workshop Cafe, 0.475655883551, 180 Montgomery St, Ste 100, Financial District, San Francisco, CA 94104
The Grind, 0.475381314754, 783 Haight St, Lower Haight, San Francisco, CA 94117
Progressive Grounds, 0.475350826979, 400 Cortland Ave, Bernal Heights, San Francisco, CA 94110
Cup Coffee Bar, 0.475320309401, 6 Monterey Blvd, Outer Mission, San Francisco, CA 94131
Tierra Mia Coffee, 0.475015252829, 3188 Mission St, Bernal Heights, San Francisco, CA 94110
DavidsTea, 0.474405109882, 2123 Polk St, Russian Hill, San Francisco, CA 94109
Trouble Coffee Company, 0.474405109882, 1730 Yosemite Ave, Bayview-Hunters Point, San Francisco, CA 94124
Cafe Venue, 0.473520457745, 67 5th St, SoMa, San Francisco, CA 94103
Beanery, 0.473520457745, 1307 9th Ave, Inner Sunset, San Francisco, CA 94122
Grandma's Deli & Cafe, 0.473489910364, 1551 Mission St, SoMa, San Francisco, CA 94103
Joy's Place, 0.472605258226, 611 Post St, Lower Nob Hill, San Francisco, CA 94109
Nespresso Boutique Bar, 0.472300171852, 90 Grant Ave, Union Square, San Francisco, CA 94108
The Chai Cart, 0.472269654274, 545 Market St, Financial District, San Francisco, CA 94105
Jump Start Coffee & Grocery, 0.472269654274, 1192 Guerrero St, Mission, San Francisco, CA 94110
Coffee Bar, 0.47199511528, 101 Montgomery St, Financial District, San Francisco, CA 94104
Spin City Launderette & Coffee Bar, 0.471964597702, 1299 Sanchez St, Noe Valley, San Francisco, CA 94114
Cafe Sophie, 0.471690058708, 3463 16th St, Castro, San Francisco, CA 94114
Socola Chocolatier + Barista, 0.471049398184, 535 Folsom St, SoMa, San Francisco, CA 94105
Réveille Coffee Co. Truck, 0.470744341612, 768 Sansome St, Financial District, San Francisco, CA 94111
